"1年
2年","配当学年 授業形態
講義
実験
講義
講義・演習
講義
演習
講義
講義・演習
講義
演習
講義
演習
講義
講義・演習 プログラミング技法Ⅰ
講義","授　　　業　　　科　　　目","単　 位 　数","コース別指示","","","","開講区分","","","","","備考"
"","","","","電 気 工 学","電 子 工 学","通 信 工 学","テ ム 工 学
情 報 シ ス","春学 期","夏学 期","秋学 期","冬学 期","集中",""
"","","コンピュータシステムⅠ","2","◎","◎","◎","◎","","","✔","","",""
"","","コンピュータシステムⅡ","2","◎","◎","◎","◎","","","","✔","",""
"","","電子情報工学序論","2","C","F","F","G","✔","✔","","","",""
"","","電子情報工学創成実験","2","◎","◎","◎","◎","✔","✔","","","",""
"","","コンピュータサイエンスとプログラミングⅠ","2","◎","◎","◎","◎","✔","","","","",""
"","","コンピュータサイエンスとプログラミングⅡ","2","◎","◎","◎","◎","","✔","","","",""
"","","電磁理論ⅠA","2","◎","◎","","","✔","","","","","電気工学・電子工学対象"
"","","電磁理論ⅠB","2","◎","◎","","","","✔","","","","電気工学・電子工学対象"
"","","電気電子回路基礎論Ⅰ","2","◎","◎","","","✔","","","","","電気工学・電子工学対象"
"","","電気電子回路基礎論Ⅱ","2","◎","◎","","","","✔","","","","電気工学・電子工学対象"
"","","情報通信基礎Ⅰ","2","","","◎","◎","✔","✔","","","","通信工学・情報システム工学対象"
"","","情報通信基礎Ⅱ","2","","","◎","◎","✔","✔","","","","通信工学・情報システム工学対象"
"","","情報通信数学Ⅰ","2","","","◎","◎","","","✔","✔","","通信工学・情報システム工学対象"
"","","情報通信数学Ⅱ","2","","","◎","◎","","","✔","✔","","通信工学・情報システム工学対象"
"","","数学解析Ⅰ","2","A","A","A","A","✔","✔","","","",""
"","","数学解析Ⅱ","2","A","A","A","A","","","✔","✔","",""
"","","数学解析演習","1","","","A","","","","✔","✔","","通信工学対象"
"","","数値解析","2","B","A","A","A","","","✔","✔","",""
"","","確率統計","2","B","A","A","A","✔","✔","","","",""
"","","電磁理論ⅡA","2","A","B","","","","","✔","✔","","電気工学・電子工学対象"
"","","電磁理論ⅡB","2","A","B","","","","","✔","✔","","電気工学・電子工学対象"
"","","電磁気学基礎","2","","","B","B","✔","✔","","","","通信工学・情報システム工学対象"
"","","電磁気学Ⅰ","2","","","B","B","✔","✔","","","","通信工学・情報システム工学対象"
"","","電磁気学Ⅱ","2","","","B","B","","","✔","✔","","通信工学・情報システム工学対象"
"","","量子論基礎","2","A","D","F","G","✔","✔","","","",""
"","","量子力学","2","A","D","","","","","✔","✔","",""
"","","量子力学演習","1","B","D","","","","","✔","✔","",""
"","","電子回路の基礎Ⅰ","2","","","C","C","✔","✔","","","","通信工学・情報システム工学対象"
"","","電子回路の基礎Ⅱ","2","","","C","C","","","✔","✔","","通信工学・情報システム工学対象"
"","","電気電子回路演習","1","A","C","","","","✔","","","",""
"","","回路とシステム","2","B","C","","","","","✔","✔","","電気工学・電子工学対象"
"","","アナログ電子回路","2","B","C","","","","","✔","✔","","電気工学・電子工学対象"
"","","電気機器","2","B","F","","","","","✔","✔","",""
"","","電子材料デバイス基礎","2","C","E","","","✔","✔","","","",""
"","","物性論Ⅰ","2","A","E","","","","","✔","✔","",""
"","","光量子ビーム基礎論","2","B","","","","","","✔","✔","",""
"","","プラズマ基礎論","2","B","B","","","","","✔","✔","",""
"","","システムプログラム","2","","","F","E","","","✔","✔","",""
"","","データベース工学","2","","","F","E","","","✔","✔","",""
"","","知識工学","2","","","F","E","","","✔","✔","",""
"","","","2","","","D","","","","✔","✔","",""
"","","情報理論","2","","","D","D","","","✔","✔","",""
