"2年
3年","配当学年 授業形態
演習
講義
実験
講義
演習
講義
演習
講義","授　　　業　　　科　　　目","単　 位 　数","コース別指示","","","","開講学期","","","","","備考"
"","","","","電 気 工 学","電 子 工 学","通 信 工 学","テ ム 工 学
情 報 シ ス","春学 期","夏学 期","秋学 期","冬学 期","集中",""
"","","情報通信工学基礎演習","2","","","D","","","","✔","✔","",""
"","","講義・演習 情報システムネットワーク及び演習","2","","","","F","","","✔","✔","",""
"","","総合科目Ⅲ","2","","","","","✔","✔","","","",""
"","","電子情報工学専門実験第１部","2","◎","◎","◎","◎","✔","✔","","","",""
"","","電子情報工学専門実験第２部","2","◎","◎","◎","◎","","","✔","✔","",""
"","","産業社会と工学倫理","2","◎","◎","","","","","✔","✔","","電気工学・電子工学対象"
"","","情報社会と工学倫理","2","","","◎","◎","✔","✔","","","","通信工学・情報システム工学対象"
"","","数学解析演習","1","A","A","","A","✔","✔","","","","電気工学・電子工学・情報システム工学対象"
"","","システム線形代数","2","B","","F","G","✔","✔","","","",""
"","","電磁波工学","2","C","","E","","✔","✔","","","",""
"","","光波工学","2","","","E","","","","✔","✔","",""
"","","光波エレクトロニクス","2","B","B","","","✔","✔","","","",""
"","","量子エレクトロニクス","2","B","B","","","","","✔","✔","",""
"","","計測基礎","2","A","D","","","✔","✔","","","",""
"","","ナノ物性計測","2","C","D","","","","","✔","✔","",""
"","","回路とシステム","2","","","","","","","✔","✔","","通信工学・情報システム工学対象"
"","","アナログ電子回路","2","","","","","","","✔","✔","","通信工学・情報システム工学対象"
"","","ディジタル電子回路","2","B","C","C","C","✔","✔","","","",""
"","","生体エレクトロニクス","2","C","C","","G","✔","✔","","","",""
"","","制御工学Ⅰ","2","A","C","F","G","✔","✔","","","",""
"","","制御工学Ⅱ","2","B","","F","","","","✔","✔","",""
"","","数理計画法","2","B","","F","G","","","✔","✔","",""
"","","信号とシステム","2","B","F","E","D","✔","✔","","","",""
"","","ディジタル信号処理","2","B","F","E","D","","","✔","✔","",""
"","","ディジタル画像処理","2","C","","F","D","","","✔","✔","",""
"","","パワーエレクトロニクス","2","B","F","","","✔","✔","","","",""
"","","電力工学Ⅰ","2","B","F","","","✔","✔","","","",""
"","","電力工学Ⅱ","2","B","","","","","","✔","✔","",""
"","","電気機械設計製図","2","C","","","","","","✔","✔","",""
"","","電気絶縁工学","2","C","","","","","","✔","✔","",""
"","","物性論Ⅱ","2","B","E","","","✔","✔","","","",""
"","","物性論演習","1","B","E","","","✔","✔","","","",""
"","","半導体工学Ⅰ","2","A","E","","","✔","✔","","","",""
"","","半導体工学Ⅱ","2","B","E","","","","","✔","✔","",""
"","","集積回路工学","2","C","E","","","","","✔","✔","",""
"","","分子電子材料","2","C","E","","","","","✔","✔","",""
"","","計算物理基礎学","2","B","","","","✔","✔","","","",""
"","","通信ネットワーク工学","2","","","E","D","","","✔","✔","",""
"","","通信方式","2","","","E","D","","","✔","✔","",""
"","","符号理論","2","","","E","D","✔","✔","","","",""
"","","コンパイラ","2","","","F","E","✔","✔","","","",""
"","","人間情報工学","2","","","F","E","✔","✔","","","",""
